# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382219864653e-10       4.179330440533e-15       3.519337765323e-13       0.000000000000e+00       8.283416470029e-09       4.560245184589e-10      -1.842275833475e-12 
    3       1.306765308055e-10       5.354300525206e-15       3.955050188253e-13       0.000000000000e+00       5.087325530530e-09       3.225310505345e-10      -1.394820807684e-12 
    4       1.235936362196e-10       4.628614635412e-15       3.697860396923e-13       0.000000000000e+00       3.523090007968e-09       2.438102090871e-10      -9.126931279081e-13 
    5       1.182956200896e-10       3.086068420503e-15       3.148722835646e-13       0.000000000000e+00       2.621387316207e-09       1.923661774570e-10      -5.069501735018e-13 
    6       1.146628733166e-10       1.724529540827e-15       2.535646449193e-13       0.000000000000e+00       2.042333980301e-09       1.563710975758e-10      -2.081121578494e-13 
    7       1.122954629354e-10       9.315407332064e-16       1.990692592719e-13       0.000000000000e+00       1.644026854125e-09       1.299749621831e-10      -1.765012974543e-14 
    8       1.109127744356e-10       6.011013326527e-16       1.571596420932e-13       0.000000000000e+00       1.356240239258e-09       1.099744345425e-10       7.941245888155e-14 
    9       1.102665541345e-10       4.824289936213e-16       1.291092151674e-13       0.000000000000e+00       1.140322615868e-09       9.447132641153e-11       1.064372105633e-13 
   10       1.101261239100e-10       4.107513094466e-16       1.135895407738e-13       0.000000000000e+00       9.734546501325e-10       8.219817769986e-11       8.927905016062e-14 
   11       1.104323905456e-10       3.446475664235e-16       1.079387060605e-13       0.000000000000e+00       8.336128529925e-10       7.301363846092e-11       5.203131742310e-14 
   12       1.110339242162e-10       2.997608865388e-16       1.090993635469e-13       0.000000000000e+00       7.285559085738e-10       6.456115062813e-11       1.227602850947e-14 
   13       1.118802593930e-10       2.870892465847e-16       1.143868100386e-13       0.000000000000e+00       6.422893735843e-10       5.769574084981e-11      -1.798981863716e-14 
   14       1.129234836518e-10       2.986648660808e-16       1.217805871071e-13       0.000000000000e+00       5.704998672745e-10       5.171606868442e-11      -3.451225775328e-14 
   15       1.141507893667e-10       3.227445398940e-16       1.299918292831e-13       0.000000000000e+00       5.100629699022e-10       4.668612189534e-11      -3.750069181548e-14 
   16       1.154873840990e-10       3.568046999911e-16       1.383572336660e-13       0.000000000000e+00       4.586668508561e-10       4.235080727829e-11      -3.091275522784e-14 
   17       1.169600804040e-10       4.063744831107e-16       1.466587752329e-13       0.000000000000e+00       4.145686430202e-10       3.856725128503e-11      -1.994052004218e-14 
   18       1.185059888054e-10       4.768841284800e-16       1.551539552469e-13       0.000000000000e+00       3.762909304935e-10       3.526706023137e-11      -9.473497969094e-15 
   19       1.201364571648e-10       5.686596587221e-16       1.640648150357e-13       0.000000000000e+00       3.432160080230e-10       3.240306235514e-11      -2.117022252446e-15 
   20       1.218440994095e-10       6.796994746704e-16       1.735317991453e-13       0.000000000000e+00       3.140838201449e-10       2.986094126069e-11       4.181315133094e-16 
   21       1.236301681781e-10       8.093677268568e-16       1.835068433944e-13       0.000000000000e+00       2.884364431697e-10       2.759460002306e-11      -1.297292073978e-15 
   22       1.254686137147e-10       9.571776611018e-16       1.938028506411e-13       0.000000000000e+00       2.656565716101e-10       2.554693282668e-11      -5.509906069518e-15 
   23       1.273657777617e-10       1.123298359895e-15       2.040972890877e-13       0.000000000000e+00       2.454394849493e-10       2.370949635123e-11      -1.047327920536e-14 
   24       1.293158810002e-10       1.307945471289e-15       2.139777054608e-13       0.000000000000e+00       2.273238533021e-10       2.206576386285e-11      -1.433128955277e-14 
   25       1.313137246334e-10       1.511337482071e-15       2.231353387293e-13       0.000000000000e+00       2.110641042016e-10       2.059348303270e-11      -1.626979860108e-14 
   26       1.333416673740e-10       1.733848926664e-15       2.313052371624e-13       0.000000000000e+00       1.963421733684e-10       1.925574550098e-11      -1.595595673096e-14 
   27       1.354093001394e-10       1.977110506773e-15       2.384161581185e-13       0.000000000000e+00       1.830818252479e-10       1.804328682125e-11      -1.390106797431e-14 
   28       1.375192939365e-10       2.243376442388e-15       2.444806922657e-13       0.000000000000e+00       1.711224577440e-10       1.694072531329e-11      -1.111015020360e-14 
   29       1.396607192387e-10       2.534924953463e-15       2.495423420033e-13       0.000000000000e+00       1.601737865373e-10       1.592170290994e-11      -8.704477329574e-15 
   30       1.418401638033e-10       2.852848007257e-15       2.536489925065e-13       0.000000000000e+00       1.501754983198e-10       1.498516100074e-11      -7.073248422494e-15 
   31       1.440593288645e-10       3.197772520820e-15       2.568734772656e-13       0.000000000000e+00       1.410534076798e-10       1.413114636229e-11      -6.396861755722e-15 
   32       1.463101519950e-10       3.570271840205e-15       2.592826846330e-13       0.000000000000e+00       1.326632332090e-10       1.335265785019e-11      -6.762966477734e-15 
   33       1.485920974467e-10       3.971284174253e-15       2.607970663482e-13       0.000000000000e+00       1.249593107776e-10       1.264313525500e-11      -7.819264840710e-15 
